bytes_sent,mean_cwnd,mean_jitter,mean_loss,mean_s_rtt
2491539.0,203730.815764,0.937437,0.0,79.309788
2558507.0,207916.0,0.885605,0.046512,78.804576
2603138.0,207865.177273,0.793427,0.047393,78.825352
3081644.0,249622.147128,0.70418,0.0,79.119775
3187185.0,264012.653137,0.858243,0.084388,80.066256
3230513.0,279530.97126,1.189169,0.179211,81.490465
3433762.0,293475.662783,1.300356,0.03367,82.072598
3376906.0,303457.473251,1.391649,0.149813,83.712023
3503511.0,322122.29128,0.993473,0.094937,82.291775
3234879.0,293833.968974,2.107317,0.040816,87.930894
3422507.0,287408.052192,1.180536,0.068027,81.66079
3344061.0,286337.498241,1.242136,0.107914,81.732992
3754029.0,317924.320562,0.934697,0.032895,82.265172
3308073.0,339161.038732,1.637162,0.108303,87.55523
3306147.0,348460.401439,2.520818,0.230769,94.669102
3339533.0,365125.757113,2.859574,0.068729,94.780142
3382372.0,369077.152291,2.63045,0.20339,94.672664
3396567.0,332572.960854,2.587372,0.080972,92.701909
3109223.0,324291.816048,2.702492,0.179211,90.033489
3444431.0,324351.56338,1.614266,0.074627,85.67313
3680022.0,366971.651024,2.145217,0.164474,92.295939
3471042.0,391150.082712,2.682353,0.033003,96.764014
3568463.0,400508.806109,2.695089,0.101695,98.316508
3268157.0,347817.818892,2.303907,0.074074,93.259768
3540598.0,344786.26087,1.889116,0.133333,89.140136
3099027.0,317503.489219,2.409437,0.31746,91.922374
3459171.0,329916.909993,1.398506,0.066007,85.053632
3814628.0,358761.276582,1.994602,0.06734,90.776653
3505760.0,368817.977823,1.906704,0.103448,91.385625
3707210.0,373740.856961,2.134729,0.032154,94.257031
3665955.0,389966.444015,2.073171,0.032895,94.628214
3613962.0,399894.38502,2.724832,0.070423,97.444966
3574185.0,408058.999339,2.42944,0.103448,97.178258
3009321.0,391716.592836,3.516369,0.252708,103.924851
3556472.0,334407.117892,2.119098,0.076923,89.338971
